PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence 
83,2023-05-26,18:47:27.59,6,2,"Weston, Travis",1000024904,Left,CAL_MUS,"Bobo, Brendan",1000068745,Left,CAL_FUL,Undefined,3,Top,2,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.73843,-1.338079,4.824559,1677.957807,101.864271,9:30,5.68741,-1.91862,5.89465,-40.7501,6.36843,-22.0871,1.04457,0.73083,70.47443,-8.880249,0.869477,0.494046,,,,,,,,,,,,12.9478,4.14925,1.54238,50,5.55584,-8.68634,-112.43965,-3.85988,16.32453,23.27088,-26.94269,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,6ecf69f0-fc30-11ed-a9f6-11b62def9100,76.29341,,,7.264,,,,,,,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:47:27.59,2023-05-26T18:47:27.5905730-07:00,2023-05-27T01:47:27.5905730Z,,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,c5eaed9b-1a42-4ea7-b422-e0ac200ae326,54.60687,-113.38909,11.63544,5.6909,-2.76063,-13.47134,1.91036,-9.35238,8.16227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
84,2023-05-26,18:47:51.25,6,3,"Weston, Travis",1000024904,Left,CAL_MUS,"Bobo, Brendan",1000068745,Left,CAL_FUL,Undefined,3,Top,2,2,0,Fastball,Splitter,FoulBall,Undefined,Undefined,Undefined,0,0,,84.83586,-0.53742,3.025173,2200.764965,136.449639,10:30,5.91492,-1.91632,5.61271,-22.05269,17.86938,-15.58119,3.57487,-0.38847,76.24081,-4.72062,0.247662,0.454755,,,,,,,,,,,,8.9426,9.65898,1.66819,50,5.85522,-5.84748,-122.85414,-1.82015,13.43153,28.25575,-17.66656,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,7cec8ae0-fc30-11ed-a9f6-11b62def9100,82.88509,,,8.59505,,,,,,,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:47:51.25,2023-05-26T18:47:51.2560322-07:00,2023-05-27T01:47:51.2560322Z,,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,c4f75cbd-c731-4911-9075-717f67346705,54.88669,-123.97296,14.12787,5.91345,-1.12063,-8.83328,1.91026,-6.37931,6.71576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
85,2023-05-26,18:48:21.00,6,4,"Weston, Travis",1000024904,Left,CAL_MUS,"Bobo, Brendan",1000068745,Left,CAL_FUL,Undefined,3,Top,2,2,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,84.47661,-1.170647,4.120324,2315.597462,137.096315,10:30,5.96714,-1.7881,5.64092,-23.11143,17.05761,-14.49993,2.94612,0.85403,76.23858,-5.529956,1.538899,0.45616,91.38339,39.879072,-52.290827,5974.552003,61.41511,80.74352,-91.25843,282.94298,199.01338,-57.904668,5.144021,8.67741,9.43812,1.4471,50,5.85305,-8.20522,-122.21466,-3.20843,12.95622,26.96555,-18.08204,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,8ea7ba20-fc30-11ed-a9f6-11b62def9100,82.62987,95.87296,,8.23803,,,,0.87867,3.12553,-0.72328,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:48:21.00,2023-05-26T18:48:21.0093250-07:00,2023-05-27T01:48:21.0093250Z,FlyBall,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,551a0a06-0336-417d-9ee1-3ee5b895d53a,54.85831,-123.28194,13.48278,5.96588,-2.49275,-9.04102,1.782,-8.71802,6.47811,,0.93373,61.89231,-16.27131,1.0736,2.23416,-1.12328,0.22855,-0.0199,0.00053,3.13892,85.63789,-22.44785,-0.1834,1.86206,-0.99575,0.2648,-0.03506,0.00182,-0.75914,-80.64549,10.54204,2.52719,-3.60991,1.67148,-0.39515,0.04679,-0.0022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
86,2023-05-26,18:48:47.97,6,5,"Weston, Travis",1000024904,Left,CAL_MUS,"Bobo, Brendan",1000068745,Left,CAL_FUL,Undefined,3,Top,2,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.81332,-1.700356,4.723823,1626.476978,113.064075,9:45,5.8055,-1.79839,5.85139,-36.76707,10.30481,-20.15513,1.15572,0.92145,70.55541,-8.525134,1.118844,0.493801,,,,,,,,,,,,11.87804,6.28339,1.42582,50,5.64535,-8.55935,-112.52656,-4.44173,15.01765,23.07352,-24.22983,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,9eb7d170-fc30-11ed-a9f6-11b62def9100,76.3312,,,7.25791,,,,,,,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:48:47.97,2023-05-26T18:48:47.9711426-07:00,2023-05-27T01:48:47.9711426Z,,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,515c6787-48d7-4c40-8e93-86a4c104c6f6,54.64938,-113.4759,11.53676,5.8076,-3.4448,-12.11491,1.7907,-9.17724,7.50883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
87,2023-05-26,18:49:12.15,6,6,"Weston, Travis",1000024904,Left,CAL_MUS,"Bobo, Brendan",1000068745,Left,CAL_FUL,Undefined,3,Top,2,3,2,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,84.73998,0.420696,3.234621,2179.887324,128.381836,10:15,5.86877,-1.81008,5.58649,-25.71092,14.21855,-16.1467,4.1197,-0.1318,76.35867,-4.407343,0.358886,0.454797,83.73769,47.351129,25.507024,2942.295508,98.07004,103.13813,49.82232,294.01807,291.77693,29.473427,5.574774,9.19882,7.46595,1.54283,50,5.88856,-6.25647,-122.72154,0.08127,13.84332,27.27942,-20.93852,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,ad20ef80-fc30-11ed-a9f6-11b62def9100,82.87741,117.59717,,8.38131,,,,1.83969,4.18724,0.15922,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:49:12.15,2023-05-26T18:49:12.1501890-07:00,2023-05-27T01:49:12.1501890Z,FlyBall,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,2a8966c4-e0e5-4447-96d7-118361c6222b,54.91248,-123.8087,13.63971,5.86869,0.91573,-10.46926,1.80316,-6.80817,6.92166,186.397268,1.83563,75.15524,-17.33499,5.35318,-1.21032,0.18693,-0.01514,0.00031,1E-05,4.17826,90.5153,-21.81287,2.56797,-0.9349,0.32443,-0.06642,0.0069,-0.0003,0.15734,35.86131,-6.53543,2.27453,-0.59704,0.11884,-0.01556,0.00118,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
88,2023-05-26,18:51:33.29,1,1,"Jones, Peyton",1000078176,Left,CAL_FUL,"Casillas, Aaron",1000084580,Right,CAL_MUS,Undefined,3,Bottom,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.04581,-3.137674,1.991218,2268.648241,150.159235,11:00,6.15111,-1.44663,6.34292,-15.82206,20.68324,-11.15422,1.9393,-0.54222,79.29262,-6.19007,-0.026937,0.43486,,,,,,,,,,,,6.38449,12.05717,1.30677,50,5.91492,-3.95424,-126.2484,-7.30597,10.24917,26.9854,-12.81831,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,0142de70-fc31-11ed-a9f6-11b62def9100,86.67721,,,7.75319,,,,,,,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:51:33.29,2023-05-26T18:51:33.2988098-07:00,2023-05-27T01:51:33.2988098Z,,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Urman, Cole",1000078178,Right,CAL_FUL,a1a1b9ec-a044-4541-b389-e452e3e64c1a,54.15654,-127.13375,13.4927,6.14772,-6.88542,-6.40916,1.44201,-4.2905,5.12459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
89,2023-05-26,18:51:46.62,1,2,"Jones, Peyton",1000078176,Left,CAL_FUL,"Casillas, Aaron",1000084580,Right,CAL_MUS,Undefined,3,Bottom,0,0,1,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.45991,-2.933805,1.935912,2289.661987,148.766733,11:00,6.09657,-1.45933,6.35546,-14.52221,21.84155,-12.45229,2.18215,-0.71448,79.1136,-5.769569,-0.317469,0.434016,,,,,,,,,,,,7.04859,12.6452,1.32425,50,5.87645,-3.78749,-126.78891,-6.82088,11.3361,28.82494,-11.83701,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,092c7920-fc31-11ed-a9f6-11b62def9100,86.84573,,,8.34631,,,,,,,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:51:46.62,2023-05-26T18:51:46.6202818-07:00,2023-05-27T01:51:46.6202818Z,,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Urman, Cole",1000078178,Right,CAL_FUL,de2413e0-5a00-4d62-934f-83a71392ac2d,54.14246,-127.72721,14.41247,6.09221,-6.43557,-5.9185,1.45354,-4.1565,5.66805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
90,2023-05-26,18:52:03.29,1,3,"Jones, Peyton",1000078176,Left,CAL_FUL,"Casillas, Aaron",1000084580,Right,CAL_MUS,Undefined,3,Bottom,0,0,2,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,87.91232,-2.518987,2.995686,2305.349962,145.039817,10:45,6.09263,-1.55541,6.5159,-16.11564,19.63749,-12.84272,2.43353,0.12577,79.58473,-5.648617,0.666978,0.430357,102.14357,5.511873,-18.742892,1780.816976,,,,108.64141,105.52482,-20.975663,0.804371,7.70634,11.47245,1.35184,50,5.90961,-6.18512,-127.4743,-5.9993,12.53111,29.0832,-13.51889,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,1323e530-fc31-11ed-a9f6-11b62def9100,87.58419,4.52193,,8.32759,,,,1.48651,2.25205,-0.00051,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:52:03.29,2023-05-26T18:52:03.2996034-07:00,2023-05-27T01:52:03.2996034Z,GroundBall,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Urman, Cole",1000078178,Right,CAL_FUL,94541abe-afa0-4415-b7e5-1cbcdb4c7678,53.9844,-128.38012,14.5416,6.0899,-5.57824,-6.75945,1.55055,-6.57541,6.26555,60.993892,1.56336,139.90759,-19.67354,,,,,,,2.31599,13.30387,-20.20899,,,,,,,0.02314,-48.32246,-0.10087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
91,2023-05-26,18:52:43.41,2,1,"Jones, Peyton",1000078176,Left,CAL_FUL,"Stafford, Ryan",1000070790,Right,CAL_MUS,Undefined,3,Bottom,0,0,0,FourSeamFastBall,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,86.3426,-2.244434,2.075645,,155.57493,11:15,6.23954,-1.58175,6.50997,-16.52048,20.48596,-8.71174,2.80066,-0.40202,78.21909,-5.453365,0.494854,0.437835,,,,,,,,,,,,5.09437,11.71371,1.4396,50,6.07469,-4.18432,-125.21433,-5.27141,8.01251,27.48479,-13.75053,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,2b0fdb90-fc31-11ed-a9f6-11b62def9100,86.08831,,,8.1235,,,,,,,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:52:43.41,2023-05-26T18:52:43.4154178-07:00,2023-05-27T01:52:43.4154178Z,,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Urman, Cole",1000078178,Right,CAL_FUL,fb3cc9fd-0239-40a2-b07c-3c0456483022,53.9844,-126.08589,13.7424,6.23493,-4.83538,-6.87527,1.57632,-4.4384,4.00626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
92,2023-05-26,18:53:07.85,2,2,"Jones, Peyton",1000078176,Left,CAL_FUL,"Stafford, Ryan",1000070790,Right,CAL_MUS,Undefined,3,Bottom,0,0,1,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,77.48597,-1.608913,1.566115,1385.445878,94.358247,9:15,5.97897,-1.71485,6.68529,-42.87585,2.76091,-15.5169,0.93343,-1.5751,70.78836,-9.617255,-1.268587,0.486216,56.28254,21.95862,59.341521,4884.310917,,,,122.90309,110.69702,66.970376,1.884201,8.6902,2.44146,1.61579,50,5.85502,-2.56732,-112.57461,-4.30804,11.00078,23.02334,-29.08344,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,39a4eba0-fc31-11ed-a9f6-11b62def9100,77.52207,14.51617,,6.6976,,,,1.38881,0.92557,1.54227,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:53:07.85,2023-05-26T18:53:07.8535874-07:00,2023-05-27T01:53:07.8535874Z,LineDrive,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Urman, Cole",1000078178,Right,CAL_FUL,148ee16b-d223-4e81-978b-55b35cb9487c,53.81546,-113.35225,11.51167,5.98394,-3.32572,-14.54172,1.70878,-2.93888,5.50039,247.062874,1.38881,39.03871,-10.26698,2.09168,-0.38908,-0.03532,0.06504,-0.02602,0.0039,0.92556,30.86785,-18.53059,1.3048,-0.25602,0.09165,-0.04082,0.01387,-0.00201,1.54227,65.85712,-3.89074,0.14571,0.10763,-0.10223,0.05766,-0.0193,0.00274,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
93,2023-05-26,18:53:37.56,2,3,"Jones, Peyton",1000078176,Left,CAL_FUL,"Stafford, Ryan",1000070790,Right,CAL_MUS,Undefined,3,Bottom,0,0,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.5755,-0.014073,3.904052,2291.671281,161.505301,11:30,6.18668,-1.3695,6.73997,-13.1067,23.11982,-7.26166,5.08156,1.59805,77.99083,-2.654532,2.585059,0.433196,,,,,,,,,,,,5.1476,12.51985,1.11439,50,6.17962,-8.36495,-126.78864,-0.23294,8.16966,31.96507,-12.30397,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,4b5174e0-fc31-11ed-a9f6-11b62def9100,87.01006,,,9.58467,,,,,,,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:53:37.56,2023-05-26T18:53:37.5626434-07:00,2023-05-27T01:53:37.5626434Z,,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Urman, Cole",1000078178,Right,CAL_FUL,0eea47f0-8010-41e2-9014-e45574629554,53.75397,-127.73155,15.98254,6.18114,0.13001,-6.15199,1.36469,-8.60595,4.08483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
94,2023-05-26,18:54:20.45,2,4,"Jones, Peyton",1000078176,Left,CAL_FUL,"Stafford, Ryan",1000070790,Right,CAL_MUS,Undefined,3,Bottom,0,1,2,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,78.39626,-2.029907,1.298352,2116.978281,233.533063,1:45,6.17944,-1.44844,5.76472,-39.71577,6.0704,6.24063,0.97922,0.28024,72.23219,-9.307696,2.417857,0.487011,91.1679,45.485882,-18.185042,4579.334273,105.32457,100.43187,-31.72767,303.3352,295.63617,-17.254875,5.714489,-2.83965,4.0826,1.33699,50,5.98703,-2.80769,-113.79465,-5.27044,-3.71305,21.42591,-26.83569,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,64e83510-fc31-11ed-a9f6-11b62def9100,77.39551,121.7098,,6.16407,,,,2.48695,1.2005,-0.23243,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:54:20.45,2023-05-26T18:54:20.4598466-07:00,2023-05-27T01:54:20.4598466Z,FlyBall,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Urman, Cole",1000078178,Right,CAL_FUL,4e25aa07-b7da-457a-9fa8-9f7040b14e83,54.73663,-114.68302,10.71295,6.18249,-4.15777,-13.41784,1.45021,-2.65373,-1.85653,186.84612,2.48722,89.03557,-21.66747,6.24748,-1.2244,0.13391,-0.00066,-0.00134,9E-05,1.18957,95.55006,-22.86235,2.41226,-0.69258,0.20921,-0.03822,0.00351,-0.00013,-0.23081,-29.27665,9.303,-3.31547,0.85043,-0.15583,0.01777,-0.00108,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
95,2023-05-26,18:55:00.26,3,1,"Jones, Peyton",1000078176,Left,CAL_FUL,"Villegas, Collin",1000083288,Right,CAL_MUS,Undefined,3,Bottom,1,0,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,87.11405,-1.527858,2.295462,2362.90509,140.683196,10:45,6.14155,-1.58382,6.48051,-18.55643,17.93473,-13.61249,3.19078,-0.60928,78.63149,-5.112315,-0.173384,0.434776,96.45356,49.116445,-30.44778,5329.909819,92.08606,124.02251,-60.16749,285.60525,285.60525,-39.998951,6.168056,7.93674,10.28867,1.4283,50,6.0258,-4.5586,-126.43036,-3.8447,12.64844,29.48365,-15.77741,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,7c9c2b80-fc31-11ed-a9f6-11b62def9100,86.69401,148.87582,,8.48255,,,,3.17925,3.41528,0.59525,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:55:00.26,2023-05-26T18:55:00.2674370-07:00,2023-05-27T01:55:00.2674370Z,FlyBall,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Urman, Cole",1000078178,Right,CAL_FUL,bcb4809f-adc5-44f8-8c3e-83aa4d291d6e,54.02001,-127.36438,14.74183,6.13969,-3.34489,-7.8887,1.57906,-4.95929,6.32422,170.919221,3.18042,79.7733,-25.29534,7.59542,-1.5901,0.21858,-0.01645,0.00049,0,3.39786,107.24447,-24.41992,2.65915,-0.69127,0.18731,-0.03177,0.00278,-0.00011,0.5961,-46.92363,10.68831,-3.60303,0.87682,-0.15409,0.01778,-0.00121,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
96,2023-05-26,18:55:43.06,4,1,"Jones, Peyton",1000078176,Left,CAL_FUL,"Yorke, Joe",1000079666,Right,CAL_MUS,Undefined,3,Bottom,2,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.51312,-2.738616,2.19583,2335.221202,163.255552,11:30,6.2913,-1.20909,6.49879,-13.44662,23.39501,-6.65189,2.65315,0.25316,78.48311,-5.385023,0.98958,0.436858,,,,,,,,,,,,4.15603,13.47292,1.05807,50,6.09312,-4.56045,-125.49474,-6.2774,6.56703,27.57107,-10.88524,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,96255720-fc31-11ed-a9f6-11b62def9100,86.28067,,,8.03001,,,,,,,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:55:43.06,2023-05-26T18:55:43.0692546-07:00,2023-05-27T01:55:43.0692546Z,,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Urman, Cole",1000078178,Right,CAL_FUL,a90fb1d0-89e9-48a2-bcaa-223a15feb64f,54.00043,-126.37058,13.78554,6.28704,-5.93161,-5.44262,1.20625,-4.76906,3.28352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
97,2023-05-26,18:56:02.14,4,2,"Jones, Peyton",1000078176,Left,CAL_FUL,"Yorke, Joe",1000079666,Right,CAL_MUS,Undefined,3,Bottom,2,0,1,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,77.76456,0.063732,1.302428,2109.955686,230.797371,1:45,6.15546,-1.23406,5.65642,-40.95782,5.72815,5.20032,2.80176,0.41418,71.31893,-7.470557,2.232119,0.491773,89.88752,-12.945016,7.808821,,,,,15.15303,13.1764,6.684506,0.101028,-2.29559,3.28028,1.12026,50,6.13468,-2.75896,-112.92707,-1.15878,-2.95465,21.19168,-27.95196,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,a18309f0-fc31-11ed-a9f6-11b62def9100,76.64602,3.01407,,6.44563,,,,2.21111,3.01407,0.05728,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:56:02.14,2023-05-26T18:56:02.1470914-07:00,2023-05-27T01:56:02.1470914Z,GroundBall,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Urman, Cole",1000078178,Right,CAL_FUL,7490d61f-d668-4dac-9b00-cc9f4b9e5234,54.84517,-113.83268,10.59584,6.15867,0.03572,-13.97598,1.23547,-2.6327,-1.47733,157.107462,2.21111,127.29213,-2.0751,,,,,,,3.01407,-29.53194,-2.98842,,,,,,,0.0573,17.45523,-5.57793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
98,2023-05-26,18:58:48.01,1,1,"Baum, Ryan",1000199113,Right,CAL_MUS,"Guzman, Moises",1000138483,Right,CAL_FUL,Undefined,4,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.71417,-3.476625,-1.522435,1942.681693,202.953617,12:45,6.22723,0.92643,6.34859,-16.73631,17.76509,7.013,1.6271,0.10905,81.48196,-6.684786,-0.252774,0.422756,,,,,,,,,,,,-4.13445,10.69032,-0.81907,50,5.96648,3.1789,-130.06841,-8.34753,-7.01256,29.80566,-14.04193,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,045706d0-fc32-11ed-a9f6-11b62def9100,89.15884,,,8.23222,,,,,,,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:58:48.01,2023-05-26T18:58:48.0195778-07:00,2023-05-27T01:58:48.0195778Z,,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,bb410eb5-534e-4649-bb0c-0f8e076b8ba3,54.15112,-131.0162,14.90283,6.22482,-7.90101,-7.02096,-0.9237,3.40189,-3.50628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
99,2023-05-26,18:59:05.09,1,2,"Baum, Ryan",1000199113,Right,CAL_MUS,"Guzman, Moises",1000138483,Right,CAL_FUL,Undefined,4,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.17017,-1.777339,-2.549701,2007.473189,206.802227,1:00,6.15742,0.779,6.22624,-18.43107,15.47753,7.28307,2.97944,-0.96818,82.60199,-5.273527,-1.235769,0.419108,,,,,,,,,,,,-4.44941,8.82469,-0.59169,50,6.01505,5.52815,-130.90547,-4.59854,-7.73701,27.08782,-16.82898,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,0e8b7be0-fc32-11ed-a9f6-11b62def9100,89.93486,,,7.56818,,,,,,,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:59:05.09,2023-05-26T18:59:05.0960578-07:00,2023-05-27T01:59:05.0960578Z,,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,b605a373-6bee-4621-9ab1-b1aacd9b222c,54.27307,-131.78671,13.54391,6.15574,-4.05105,-8.41449,-0.77563,5.77985,-3.86851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
